order_id,order_created,order_grand_total,order_shipping_charge,order_item_total_price
1797804,2015-10-01 00:00:24,39.5,0.0,39.5
1797805,2015-10-01 00:00:52,27.0,0.0,30.0
1797806,2015-10-01 00:00:58,9.0,0.0,9.0
1797807,2015-10-01 00:01:30,23.98,0.0,22.0
1797808,2015-10-01 00:01:37,20.0,0.0,20.0
1797809,2015-10-01 00:02:27,40.0,0.0,40.0
1797810,2015-10-01 00:02:31,39.87,5.950000000000001,32.0
1797811,2015-10-01 00:03:06,0.0,0.0,125.0
1797812,2015-10-01 00:03:37,182.19,6.0,160.0
1797813,2015-10-01 00:03:49,58.13,5.0,50.0
1797814,2015-10-01 00:04:22,25.95,5.95,20.0
1797815,2015-10-01 00:07:21,118.0,0.0,200.0
1797816,2015-10-01 00:07:37,159.0,0.0,150.0
1797817,2015-10-01 00:07:54,103.37,4.0,91.0
1797818,2015-10-01 00:08:18,14.5,10.0,54.5
1797819,2015-10-01 00:08:57,19.4,0.0,18.0
1797820,2015-10-01 00:09:24,267.57,5.95,246.0
1797821,2015-10-01 00:11:20,96.05,5.95,85.0
1797822,2015-10-01 00:12:42,0.0,0.0,0.0
1797823,2015-10-01 00:13:02,187.5,7.5,180.0
1797824,2015-10-01 00:13:20,112.25,6.0,100.0
1797825,2015-10-01 00:13:44,43.0,0.0,43.0
1797826,2015-10-01 00:14:59,153.08999999999997,7.5,138.0
1797827,2015-10-01 00:16:15,15.0,0.0,15.0
1797828,2015-10-01 00:16:45,87.0,0.0,87.0
1797829,2015-10-01 00:16:49,52.0,0.0,52.0
1797830,2015-10-01 00:16:51,60.0,0.0,60.0
1797831,2015-10-01 00:17:11,44.95,4.95,40.0
1797832,2015-10-01 00:17:44,438.0,0.0,438.0
1797833,2015-10-01 00:17:46,4.95,4.95,8.0
1797834,2015-10-01 00:18:33,43.0,0.0,43.0
1797835,2015-10-01 00:19:27,34.95,4.95,30.0
1797836,2015-10-01 00:21:00,117.44000000000001,3.5,108.0
1797837,2015-10-01 00:21:11,103.2,0.0,129.0
1797838,2015-10-01 00:22:09,37.97,4.95,31.0
1797839,2015-10-01 00:22:11,73.96000000000002,3.5,69.98
1797840,2015-10-01 00:22:13,0.0,0.0,0.0
1797841,2015-10-01 00:22:48,15.47,3.5,11.97
1797842,2015-10-01 00:23:57,86.5,7.0,75.0
1797843,2015-10-01 00:24:01,38.52,0.0,36.0
1797844,2015-10-01 00:24:14,20.0,0.0,20.0
1797845,2015-10-01 00:24:49,28.0,0.0,28.0
1797846,2015-10-01 00:25:01,58.6,5.0,67.0
1797847,2015-10-01 00:25:05,46.95,4.95,42.0
1797848,2015-10-01 00:25:07,319.93,0.0,299.0
1797849,2015-10-01 00:25:13,100.0,0.0,100.0
1797850,2015-10-01 00:25:56,476.830000000001,4.0,445.02000000000044
1797851,2015-10-01 00:26:04,30.149999999999995,4.15,26.0
1797852,2015-10-01 00:26:31,32.64,5.95,25.0
1797853,2015-10-01 00:27:11,108.0,0.0,100.0
1797854,2015-10-01 00:28:52,56.0,6.0,50.0
1797855,2015-10-01 00:28:56,63.3,0.0,80.0
1797856,2015-10-01 00:29:20,13.46,5.95,7.0
1797857,2015-10-01 00:29:35,85.0,10.0,75.0
1797858,2015-10-01 00:30:24,45.0,0.0,45.0
1797859,2015-10-01 00:31:57,70.0,0.0,100.0
1797860,2015-10-01 00:32:02,60.0,0.0,60.0
1797861,2015-10-01 00:32:15,157.5,3.5,140.0
1797862,2015-10-01 00:34:22,1067.5,0.0,1000.0
1797863,2015-10-01 00:35:11,30.95,5.95,25.0
1797864,2015-10-01 00:35:58,79.0,0.0,79.0
1797865,2015-10-01 00:37:35,153.52,0.0,139.87999999999997
1797866,2015-10-01 00:38:19,0.0,0.0,0.0
1797867,2015-10-01 00:39:49,94.09999999999998,5.0,82.5
1797868,2015-10-01 00:41:08,52.43,0.0,49.0
1797869,2015-10-01 00:41:33,32.93,0.0,30.0
1797870,2015-10-01 00:42:56,0.0,0.0,4698.11999999993
1797871,2015-10-01 00:43:10,156.63999999999996,4.0,194.0
1797872,2015-10-01 00:44:02,0.0,0.0,0.0
1797873,2015-10-01 00:45:59,82.0,0.0,125.0
1797874,2015-10-01 00:46:23,0.0,0.0,0.0
1797875,2015-10-01 00:47:45,26.5,0.0,25.0
1797876,2015-10-01 00:48:42,49.77,6.95,40.0
1797877,2015-10-01 00:49:05,19.62,0.0,18.0
1797878,2015-10-01 00:49:59,237.1,5.0,220.0
1797879,2015-10-01 00:50:18,136.45,5.95,120.0
1797880,2015-10-01 00:51:13,40.15,4.1499999999999995,36.0
1797881,2015-10-01 00:51:41,73.72000000000001,4.0,65.15999999999998
1797882,2015-10-01 00:52:43,48.15,10.0,110.0
1797883,2015-10-01 00:53:23,0.0,0.0,0.0
1797884,2015-10-01 00:53:31,51.35999999999999,8.0,40.0
1797885,2015-10-01 00:53:55,75.0,0.0,100.0
1797886,2015-10-01 00:54:52,0.0,0.0,0.0
1797887,2015-10-01 00:56:07,50.95,5.95,45.0
1797888,2015-10-01 00:58:55,29.960000000000004,0.0,28.0
1797889,2015-10-01 00:59:13,54.0,0.0,100.0
1797890,2015-10-01 00:59:53,84.75,4.95,75.0
1797891,2015-10-01 01:00:58,20.0,0.0,20.0
1797892,2015-10-01 01:01:16,70.0,0.0,70.0
1797893,2015-10-01 01:01:50,636.0,0.0,600.0
1797894,2015-10-01 01:02:07,0.0,0.0,0.0
1797895,2015-10-01 01:02:52,206.4,0.0,192.0
1797896,2015-10-01 01:03:21,52.89000000000001,4.95,47.94
1797897,2015-10-01 01:03:58,262.80000000000007,6.0,320.0
1797898,2015-10-01 01:04:00,0.0,0.0,0.0
1797899,2015-10-01 01:04:07,47.35,5.95,46.0
1797900,2015-10-01 01:06:13,32.33,0.0,29.95
1797901,2015-10-01 01:07:11,0.0,0.0,50.0
1797902,2015-10-01 01:07:43,0.0,0.0,0.0
1797903,2015-10-01 01:08:08,118.5,3.5,115.0
1797904,2015-10-01 01:08:09,399.0,0.0,399.0
1797905,2015-10-01 01:08:21,21.34,0.0,20.0
1797906,2015-10-01 01:08:32,50.0,0.0,50.0
1797907,2015-10-01 01:08:47,40.5,0.0,45.0
1797908,2015-10-01 01:08:50,35.1,0.0,45.0
1797909,2015-10-01 01:09:29,283.21999999999986,10.0,226.0
1797910,2015-10-01 01:10:05,337.47999999999973,7.0,510.0
1797911,2015-10-01 01:10:15,30.0,0.0,30.0
1797912,2015-10-01 01:10:49,37.1,0.0,35.0
1797913,2015-10-01 01:10:53,61.68,5.0,52.0
1797914,2015-10-01 01:10:57,34.18,4.95,27.0
1797915,2015-10-01 01:11:55,51.35,0.0,47.0
1797916,2015-10-01 01:12:20,143.19999999999996,0.0,315.0
1797917,2015-10-01 01:13:32,34.949999999999996,4.950000000000001,30.0
1797918,2015-10-01 01:13:33,5.65,0.0,105.0
1797919,2015-10-01 01:13:41,178.75,10.0,225.0
1797920,2015-10-01 01:14:03,69.76,5.95,0.0
1797921,2015-10-01 01:14:45,0.0,0.0,0.0
1797922,2015-10-01 01:15:06,34.24,0.0,32.0
1797923,2015-10-01 01:15:17,189.21,3.5,70.0
1797924,2015-10-01 01:15:34,25.0,0.0,25.0
1797925,2015-10-01 01:15:37,260.0,0.0,260.0
1797926,2015-10-01 01:16:33,34.95,4.95,30.0
1797927,2015-10-01 01:16:33,8.13,8.13,80.64999999999999
1797928,2015-10-01 01:16:53,170.10999999999987,8.0,151.5
1797929,2015-10-01 01:17:12,52.95,4.95,0.0
1797930,2015-10-01 01:17:19,3.31,0.0,60.0
1797931,2015-10-01 01:17:35,23.0,0.0,23.0
1797932,2015-10-01 01:19:52,144.11,0.0,135.0
1797933,2015-10-01 01:20:34,26.67,4.15,21.0
1797934,2015-10-01 01:20:48,28.62,0.0,30.0
1797935,2015-10-01 01:20:51,28.34,0.0,26.0
1797936,2015-10-01 01:21:42,177.70000000000002,2.6999999999999997,175.0
1797937,2015-10-01 01:22:45,45.0,0.0,70.0
1797938,2015-10-01 01:23:00,3440.0,0.0,3440.0
1797939,2015-10-01 01:23:56,28.0,0.0,28.0
1797940,2015-10-01 01:24:28,11.86,5.95,5.52
1797941,2015-10-01 01:24:30,16.24,0.0,15.0
1797942,2015-10-01 01:24:32,11.66,4.15,7.0
1797943,2015-10-01 01:24:33,72.65999999999998,0.0,68.54999999999998
1797944,2015-10-01 01:24:36,1575.0,0.0,1500.0
1797945,2015-10-01 01:25:05,200.0,0.0,300.0
1797946,2015-10-01 01:25:20,31.5,7.5,24.0
1797947,2015-10-01 01:25:25,10.0,0.0,10.0
1797948,2015-10-01 01:25:32,659.8,0.0,659.8
1797949,2015-10-01 01:25:49,162.0,0.0,270.0
1797950,2015-10-01 01:25:50,495.97999999999985,3.5,456.0
1797951,2015-10-01 01:25:56,70.85,0.0,65.0
1797952,2015-10-01 01:27:09,98.21,0.0,92.0
1797953,2015-10-01 01:27:19,74.5,3.5,71.0
1797954,2015-10-01 01:28:56,548.0,15.0,533.0
1797955,2015-10-01 01:29:26,327.06,9.950000000000001,295.0
1797956,2015-10-01 01:29:31,29.26,4.95,22.349999999999998
1797957,2015-10-01 01:30:25,60.0,0.0,60.0
1797958,2015-10-01 01:30:39,80.0,0.0,80.0
1797959,2015-10-01 01:30:56,58.75,4.1499999999999995,54.6
1797960,2015-10-01 01:31:19,63.25,4.95,55.0
1797961,2015-10-01 01:31:41,40.0,0.0,40.0
1797962,2015-10-01 01:32:00,87.6,0.0,80.0
1797963,2015-10-01 01:32:15,1110.94,15.0,1068.72
1797964,2015-10-01 01:32:23,6.0,0.0,6.0
1797965,2015-10-01 01:32:50,25.0,0.0,25.0
1797966,2015-10-01 01:32:55,432.0,4.0,400.0
1797967,2015-10-01 01:33:20,25.349999999999998,4.1499999999999995,20.0
1797968,2015-10-01 01:34:06,5.950000000000002,5.950000000000002,0.0
1797969,2015-10-01 01:34:16,10.0,0.0,10.0
1797970,2015-10-01 01:35:03,51.9,5.95,51.0
1797971,2015-10-01 01:35:14,318.10000000000025,8.949999999999994,343.5
1797972,2015-10-01 01:35:17,60.0,0.0,60.0
1797973,2015-10-01 01:35:25,63.75,0.0,75.0
1797974,2015-10-01 01:35:55,0.0,0.0,0.0
1797975,2015-10-01 01:36:09,344.86,4.0,312.0
1797976,2015-10-01 01:36:29,110.16,0.0,25.44
1797977,2015-10-01 01:36:54,0.0,0.0,50.0
1797978,2015-10-01 01:37:16,4.32,0.0,203.94
1797979,2015-10-01 01:37:31,26.7,5.0,20.0
1797980,2015-10-01 01:37:59,109.5,3.5,106.0
1797981,2015-10-01 01:38:58,34.91,4.95,28.0
1797982,2015-10-01 01:39:15,108.25,0.0,100.0
1797983,2015-10-01 01:39:20,30.7,4.95,35.0
1797984,2015-10-01 01:40:03,48.25,5.95,47.0
1797985,2015-10-01 01:40:53,15.0,0.0,15.0
1797986,2015-10-01 01:40:58,25.0,0.0,25.0
1797987,2015-10-01 01:41:41,40.0,5.0,35.0
1797988,2015-10-01 01:41:56,50.0,0.0,50.0
1797989,2015-10-01 01:42:41,45.0,0.0,45.0
1797990,2015-10-01 01:42:57,131.19,9.0,115.0
1797991,2015-10-01 01:43:26,68.89999999999999,0.0,65.0
1797992,2015-10-01 01:43:29,163.13000000000002,0.0,150.0
1797993,2015-10-01 01:43:49,104.0,0.0,104.0
1797994,2015-10-01 01:44:02,32.48,0.0,30.0
1797995,2015-10-01 01:44:08,20.0,6.0,14.0
1797996,2015-10-01 01:44:13,128.0,4.0,124.0
1797997,2015-10-01 01:44:52,25.0,0.0,25.0
1797998,2015-10-01 01:45:41,75.0,25.0,50.0
1797999,2015-10-01 01:45:47,119.57,5.95,105.0
1798000,2015-10-01 01:46:23,52.32,0.0,48.0
1798001,2015-10-01 01:46:25,52.03,5.95,46.08
1798002,2015-10-01 01:46:32,36.85,4.95,29.4
1798003,2015-10-01 01:46:54,137.3,8.0,120.0
1798004,2015-10-01 01:47:47,25.6,4.15,20.0
1798005,2015-10-01 01:47:50,0.0,0.0,0.0
1798006,2015-10-01 01:47:53,25.95,4.95,21.0
1798007,2015-10-01 01:48:46,535.9400000000002,0.0,508.0
1798008,2015-10-01 01:48:46,51.529999999999994,0.0,46.95
1798009,2015-10-01 01:48:49,0.0,0.0,0.0
1798010,2015-10-01 01:49:22,418.7,0.0,395.0
1798011,2015-10-01 01:50:36,10.0,0.0,10.0
1798012,2015-10-01 01:50:50,12.85,5.95,6.9
1798013,2015-10-01 01:51:15,350.0,0.0,350.0
1798014,2015-10-01 01:51:22,37.0,5.0,40.0
1798015,2015-10-01 01:51:44,43.16,5.95,39.0
1798016,2015-10-01 01:51:48,0.0,0.0,0.0
1798017,2015-10-01 01:52:36,0.0,0.0,0.0
1798018,2015-10-01 01:52:48,4.39,1.0,3.0
1798019,2015-10-01 01:52:58,126.40000000000003,3.5,113.79999999999998
1798020,2015-10-01 01:53:09,16.03,4.95,10.5
1798021,2015-10-01 01:54:19,244.14999999999984,4.150000000000002,240.0
1798022,2015-10-01 01:54:44,49.95,4.95,10.0
1798023,2015-10-01 01:55:01,56.84000000000001,0.0,53.0
1798024,2015-10-01 01:55:52,225.0,0.0,225.0
1798025,2015-10-01 01:56:12,27.0,0.0,30.0
1798026,2015-10-01 01:56:28,48.15,4.95,48.0
1798027,2015-10-01 01:56:41,26.99,0.0,25.0
1798028,2015-10-01 01:56:59,642.78,0.0,600.0
1798029,2015-10-01 01:57:13,214.0,15.0,185.0
1798030,2015-10-01 01:57:21,87.57,11.950000000000001,71.0
1798031,2015-10-01 01:57:35,31.399999999999995,5.0,33.0
1798032,2015-10-01 01:58:06,105.5,0.0,105.5
1798033,2015-10-01 01:58:06,51.36,0.0,48.0
1798034,2015-10-01 01:59:05,106.35,0.0,100.0
1798035,2015-10-01 02:00:19,8.0,8.0,592.0
1798036,2015-10-01 02:00:28,56.43,0.0,52.0
1798037,2015-10-01 02:01:31,26.0,2.0,24.0
1798038,2015-10-01 02:01:57,0.0,0.0,0.0
1798039,2015-10-01 02:02:17,53.5,0.0,50.0
1798040,2015-10-01 02:02:17,72.0,0.0,90.0
1798041,2015-10-01 02:02:28,81.0,0.0,81.0
1798042,2015-10-01 02:02:36,49.95,4.95,50.0
1798043,2015-10-01 02:04:03,70.95,4.95,60.0
1798044,2015-10-01 02:04:40,31.8,0.0,30.0
1798045,2015-10-01 02:05:06,0.0,0.0,0.0
1798046,2015-10-01 02:06:08,112.86,0.0,104.0
1798047,2015-10-01 02:06:17,18.43,0.0,17.0
1798048,2015-10-01 02:06:26,23.98,0.0,22.0
1798049,2015-10-01 02:07:00,30.0,0.0,30.0
1798050,2015-10-01 02:07:17,22.33,4.15,17.0
1798051,2015-10-01 02:07:27,33.45,8.95,24.5
1798052,2015-10-01 02:08:44,122.83,3.5,111.0
1798053,2015-10-01 02:09:33,60.75,4.95,62.0
1798054,2015-10-01 02:10:19,4.31,0.0,54.0
1798055,2015-10-01 02:11:07,15.0,0.0,15.0
1798056,2015-10-01 02:11:32,146.55999999999997,4.0,135.0
1798057,2015-10-01 02:11:46,0.0,0.0,0.0
1798058,2015-10-01 02:12:58,57.65,0.0,54.0
1798059,2015-10-01 02:13:22,81.8,5.0,96.0
1798060,2015-10-01 02:13:59,20.0,5.0,15.0
1798061,2015-10-01 02:14:36,12.86,0.0,12.0
1798062,2015-10-01 02:14:38,63.9,0.0,59.0
1798063,2015-10-01 02:15:36,270.0,0.0,270.0
1798064,2015-10-01 02:16:10,217.85,27.95,180.0
1798065,2015-10-01 02:16:34,6.0,0.0,6.0
1798066,2015-10-01 02:17:08,50.0,0.0,50.0
1798067,2015-10-01 02:17:10,40.5,0.0,45.0
1798068,2015-10-01 02:17:37,51.0,0.0,60.0
1798069,2015-10-01 02:17:43,101.25,0.0,135.0
1798070,2015-10-01 02:17:59,247.0,0.0,247.0
1798071,2015-10-01 02:18:15,109.08000000000001,0.0,101.0
1798072,2015-10-01 02:18:52,15.0,0.0,15.0
1798073,2015-10-01 02:20:30,143.75,5.950000000000002,205.0
1798074,2015-10-01 02:20:37,22.83,5.95,16.0
1798075,2015-10-01 02:20:46,32.55,0.0,30.0
1798076,2015-10-01 02:21:12,28.1,5.95,22.0
1798077,2015-10-01 02:21:41,97.08999999999997,4.0,87.0
1798078,2015-10-01 02:22:16,5.95,5.95,0.0
1798079,2015-10-01 02:22:19,31.15,4.15,27.0
1798080,2015-10-01 02:23:23,203.5,3.5,200.0
1798081,2015-10-01 02:23:32,42.95000000000001,4.95,40.0
1798082,2015-10-01 02:24:37,228.0,12.0,200.0
1798083,2015-10-01 02:24:47,4.95,4.95,4.99
1798084,2015-10-01 02:25:25,54.88,4.0,46.0
1798085,2015-10-01 02:25:44,63.75,0.0,75.0
1798086,2015-10-01 02:26:23,34.57,5.95,27.0
1798087,2015-10-01 02:26:54,30.0,0.0,30.0
1798088,2015-10-01 02:27:04,693.0,0.0,660.0
1798089,2015-10-01 02:27:10,0.0,0.0,0.0
1798090,2015-10-01 02:28:20,75.0,0.0,75.0
1798091,2015-10-01 02:28:22,51.0,0.0,60.0
1798092,2015-10-01 02:28:45,65.5,0.0,65.5
1798093,2015-10-01 02:28:51,27.0,0.0,30.0
1798094,2015-10-01 02:29:21,0.0,0.0,0.0
1798095,2015-10-01 02:29:27,25.0,0.0,25.0
1798096,2015-10-01 02:29:44,15.0,0.0,15.0
1798097,2015-10-01 02:29:46,25.07,0.0,36.0
1798098,2015-10-01 02:30:21,172.69999999999993,5.0,156.0
1798099,2015-10-01 02:31:05,31.15,4.15,27.0
1798100,2015-10-01 02:31:18,0.0,0.0,175.0
1798101,2015-10-01 02:31:20,93.99,4.95,84.0
1798102,2015-10-01 02:32:22,374.0,0.0,340.0
1798103,2015-10-01 02:33:45,101.0,0.0,201.0
1798104,2015-10-01 02:33:56,1333.31,18.95,1210.0
1798105,2015-10-01 02:34:54,78.69000000000003,4.0,69.0
1798106,2015-10-01 02:35:02,51.0,0.0,60.0
1798107,2015-10-01 02:35:02,23.949999999999996,7.950000000000001,16.0
1798108,2015-10-01 02:35:22,101.25,0.0,135.0
1798109,2015-10-01 02:36:21,153.0,0.0,255.0
1798110,2015-10-01 02:37:55,66.67,4.95,61.72
1798111,2015-10-01 02:38:09,12.0,0.0,12.0
1798112,2015-10-01 02:38:23,59.95,4.950000000000001,55.0
1798113,2015-10-01 02:38:47,105.0,5.0,100.0
1798114,2015-10-01 02:39:16,15.0,0.0,15.0
1798115,2015-10-01 02:39:29,0.0,0.0,0.0
1798116,2015-10-01 02:39:47,300.0,0.0,300.0
1798117,2015-10-01 02:40:28,27.25,6.0,20.0
1798118,2015-10-01 02:40:50,195.11999999999995,3.5,178.0
1798119,2015-10-01 02:41:30,63.75,0.0,75.0
1798120,2015-10-01 02:41:38,52.61000000000001,0.0,47.940000000000005
1798121,2015-10-01 02:42:36,52.730000000000004,4.0,45.54000000000001
1798122,2015-10-01 02:42:37,34.95,4.95,30.0
1798123,2015-10-01 02:42:50,36.0,5.0,31.0
1798124,2015-10-01 02:43:43,10.7,0.0,10.0
1798125,2015-10-01 02:44:33,17.84,5.0,12.0
1798126,2015-10-01 02:44:45,32.84,6.0,25.0
1798127,2015-10-01 02:46:11,416.38999999999976,14.0,431.40999999999997
1798128,2015-10-01 02:46:19,10.0,0.0,10.0
1798129,2015-10-01 02:46:37,400.0,0.0,500.0
1798130,2015-10-01 02:48:29,45.78,0.0,42.0
1798131,2015-10-01 02:48:37,98.31,4.1499999999999995,88.0
1798132,2015-10-01 02:50:08,39.5,0.0,39.5
1798133,2015-10-01 02:50:08,190.5,8.0,168.0
1798134,2015-10-01 02:50:45,21.5,0.0,21.5
1798135,2015-10-01 02:50:52,60.77,0.0,56.0
1798136,2015-10-01 02:51:43,173.60000000000002,4.0,160.0
1798137,2015-10-01 02:51:44,42.8,0.0,40.0
1798138,2015-10-01 02:52:25,30.0,0.0,30.0
1798139,2015-10-01 02:52:25,40.19,6.0,32.0
1798140,2015-10-01 02:52:33,0.0,0.0,0.0
1798141,2015-10-01 02:52:53,1500.0,0.0,1500.0
1798142,2015-10-01 02:52:58,29.79,4.95,27.0
1798143,2015-10-01 02:53:05,500.0,0.0,500.0
1798144,2015-10-01 02:53:32,113.14,0.0,105.0
1798145,2015-10-01 02:53:36,70.54,0.0,65.0
1798146,2015-10-01 02:53:50,9.81,0.0,22.0
1798147,2015-10-01 02:53:56,42.95,4.95,40.0
1798148,2015-10-01 02:53:57,462.0,12.0,500.0
1798149,2015-10-01 02:54:13,0.0,0.0,0.0
1798150,2015-10-01 02:54:51,20.95,5.95,15.0
1798151,2015-10-01 02:55:02,246.44999999999996,7.5,425.0
1798152,2015-10-01 02:55:33,54.13,0.0,50.0
1798153,2015-10-01 02:55:43,229.84000000000003,4.950000000000001,15.0
1798154,2015-10-01 02:55:49,110.0,4.0,100.0
1798155,2015-10-01 02:56:11,245.0,17.0,380.0
1798156,2015-10-01 02:56:39,38.15,0.0,35.0
1798157,2015-10-01 02:57:23,253.5,12.0,291.5
1798158,2015-10-01 02:58:41,15.14,0.0,15.0
